Country,Short Names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
ARG,meat_consumption_1,2588.922,2448.667,2441.882,2507.867,2388.224,2173.938,2226.499,2285.148,2144.908,2383.908,2385.107,2342.406,2180.404,2277.857,2403.58,2379.357,2475.541,2687.746,2705.482,2715.874,2314.788,2266.864,2414.409,2655.708,2494.649,2527.844,2426.619,2484.0,2464.0,2430.0,2382.076,2401.035,2425.012,2437.017,2449.171,2462.158,2472.999,2484.348,2495.4,2506.787
AUS,meat_consumption_1,0.0,686.147,656.427,663.141,652.496,656.123,713.345,761.754,710.694,754.07,719.378,674.711,700.181,727.715,815.597,783.783,792.609,722.101,711.36,728.772,801.045,749.784,734.056,788.813,761.393,701.529,674.949,746.355,710.146,709.223,708.097,706.864,710.84,709.891,704.028,708.043,712.147,716.071,719.996,723.957
BRA,meat_consumption_1,4441.969,4480.047,4526.875,4663.653,5297.496,5996.039,6224.332,5903.084,5689.546,6142.739,6301.641,6326.587,6591.21,7712.832,7275.638,7902.987,8623.834,8354.419,7403.42,7110.986,7360.084,7309.01,7448.019,7973.897,7543.149,7293.165,7478.075,7533.468,7559.782,7593.866,7422.823,7521.843,7555.366,7619.04,7670.758,7745.202,7762.803,7770.092,7774.418,7784.403
CAN,meat_consumption_1,983.68,974.36,960.85,930.05,957.6,971.12,969.93,981.77,1002.7,1030.28,1022.99,992.56,998.37,1064.09,1032.22,1010.613,1009.173,1041.813,1022.674,985.09,990.53,977.16,998.39,999.02,977.06,907.51,952.0,958.86,975.67,941.857,947.763,945.918,942.617,939.652,938.45,935.205,932.05,930.862,929.264,927.806
CHE,meat_consumption_1,174.454,178.329,178.329,172.508,158.393,158.188,161.38,161.559,159.098,157.971,149.838,149.105,152.466,150.595,151.008,153.487,158.191,157.752,166.453,166.63,172.565,176.419,174.004,166.115,166.367,164.041,167.048,162.048,162.048,161.657,162.049,161.98,162.045,162.02,161.953,161.954,161.901,162.36,162.828,163.274
CHL,meat_consumption_1,245.329,241.618,236.37,269.71,293.038,323.359,340.588,366.935,349.254,331.723,341.398,310.086,328.07,358.746,374.294,402.396,352.717,382.094,359.767,364.325,374.144,347.028,362.875,428.119,442.921,442.557,482.422,452.611,485.34,527.0,534.711,543.809,553.072,561.963,570.422,578.469,586.269,593.86,601.627,609.356
CHN,meat_consumption_1,1074.938,1278.732,1725.372,2186.401,2676.4,3463.373,3476.646,4329.813,4726.792,5013.457,4949.386,5040.833,5196.594,5382.253,5534.334,5578.666,5646.492,6013.338,6044.516,6209.607,6231.916,6042.417,6142.148,6422.506,6440.543,6690.265,6833.547,7150.773,7377.397,8369.277,8606.817,8546.711,8472.769,8396.019,8321.715,8250.642,8286.993,8307.58,8330.168,8350.721
COL,meat_consumption_1,734.93,676.335,587.024,601.218,648.047,702.26,731.707,764.881,765.401,716.842,749.426,694.805,674.655,638.309,704.804,782.8,804.83,775.946,763.957,706.609,766.225,816.772,846.053,819.14,830.899,845.885,787.822,735.314,750.763,607.48,618.438,629.781,640.862,651.984,663.071,674.33,685.437,696.531,707.646,718.766
EGY,meat_consumption_1,402.438,466.844,466.626,529.877,556.084,544.545,573.259,637.372,654.246,690.106,768.919,654.327,815.884,775.033,803.732,906.108,1018.44,1055.449,970.683,1007.136,1115.347,1066.814,1166.142,1148.322,1203.968,1221.407,1214.015,1139.44,1096.082,1130.091,1147.099,1172.508,1195.389,1218.223,1241.302,1265.36,1287.223,1309.502,1331.575,1353.986
ETH,meat_consumption_1,231.5,231.5,230.0,230.0,229.986,234.927,266.927,269.985,273.955,290.014,294.033,303.504,352.497,338.295,336.024,350.262,373.978,363.021,380.049,354.749,419.113,409.776,337.636,340.616,380.806,390.969,388.314,391.532,390.0,392.867,400.4,409.451,418.055,426.562,435.011,443.673,452.08,460.507,468.933,477.422
GBR,meat_consumption_1,1102.267,1124.156,1086.1,927.771,940.917,983.175,813.372,862.714,853.618,855.597,892.427,899.846,983.047,999.685,1033.938,1037.45,1069.418,1090.472,1060.779,1022.208,1075.546,1062.388,1039.903,1023.414,1060.65,1094.539,1107.867,1115.878,1125.594,1100.526,1098.687,1107.076,1109.805,1104.646,1102.863,1102.817,1100.923,1099.64,1105.769,1107.066
IDN,meat_consumption_1,305.855,313.434,346.463,402.142,391.6,369.608,417.09,432.223,400.702,384.262,422.52,404.567,387.977,421.629,504.458,425.012,473.796,433.704,490.388,532.392,589.601,604.01,590.801,605.62,631.166,611.63,704.347,712.766,775.109,831.35,846.977,864.895,882.144,899.582,917.488,936.014,954.416,973.39,992.717,1012.425
IND,meat_consumption_1,2050.966,2059.275,2091.774,2080.765,2075.36,2041.208,2053.352,2044.225,2071.752,2063.095,1953.795,2004.632,1956.635,1867.213,1858.992,1779.842,1765.729,1805.257,1822.301,1897.178,1646.553,1339.879,1208.681,835.072,642.944,839.343,886.248,815.987,1089.271,1039.304,1050.979,1069.44,1083.922,1101.079,1114.054,1131.926,1147.422,1160.146,1173.833,1184.822
IRN,meat_consumption_1,345.56,291.8,285.96,325.12,316.359,308.92,386.0,386.781,389.36,327.408,310.871,341.075,375.549,374.452,419.093,397.796,480.869,510.5,460.585,468.428,601.584,559.972,498.163,497.371,535.828,567.646,604.786,632.954,661.981,675.701,688.943,704.82,719.476,733.842,747.983,762.228,775.428,788.47,801.22,813.953
ISR,meat_consumption_1,64.074,81.721,69.344,75.899,102.537,94.052,106.752,116.102,112.493,113.355,142.024,132.807,158.422,166.377,82.988,159.13,211.987,191.197,237.741,185.378,200.427,211.743,199.793,260.307,211.825,215.435,237.52,248.565,275.935,284.0,288.964,294.235,299.537,304.935,310.438,316.063,321.735,327.516,333.399,339.396
JPN,meat_consumption_1,1067.243,1142.37,1190.669,1308.383,1441.19,1517.9,1441.213,1463.358,1486.629,1486.738,1570.034,1282.592,1302.383,1276.909,1275.117,1142.902,1135.178,1171.14,1172.563,1192.209,1231.567,1233.994,1234.866,1233.086,1224.719,1150.322,1254.533,1275.113,1336.632,1366.697,1380.965,1378.735,1376.495,1357.648,1353.09,1349.406,1344.102,1339.297,1334.834,1329.991
KAZ,meat_consumption_1,710.0,724.0,593.206,651.306,614.695,515.703,439.578,364.197,344.038,340.692,314.203,299.272,307.269,327.029,346.012,372.991,405.625,436.184,446.587,431.587,433.083,443.084,436.799,450.397,459.14,468.137,472.887,498.161,520.005,523.2,531.866,539.772,548.565,559.179,566.935,574.462,581.472,588.371,595.196,601.94
KOR,meat_consumption_1,0.0,315.039,355.016,335.233,361.695,419.442,438.783,500.749,453.449,542.985,571.881,499.0,571.263,553.643,448.207,415.754,463.704,493.536,505.262,523.328,564.912,627.21,639.583,671.544,713.675,726.628,729.746,762.168,791.703,865.1,867.928,872.762,877.592,882.426,887.253,892.083,896.915,899.747,903.579,907.409
MEX,meat_consumption_1,885.416,1096.477,1165.183,1075.554,1285.064,1119.742,1321.371,1377.33,1507.122,1515.51,1524.53,1583.0,1717.57,1613.165,1553.857,1616.017,1538.146,1669.408,1776.01,1695.545,1624.429,1496.711,1516.946,1531.758,1532.06,1551.635,1609.356,1633.086,1666.224,1670.708,1652.375,1672.105,1690.816,1714.723,1742.251,1758.614,1779.542,1790.538,1801.876,1809.618
MYS,meat_consumption_1,66.578,77.073,80.092,83.564,92.372,103.367,114.913,115.326,103.485,114.855,139.217,84.334,152.202,153.57,187.123,187.122,180.469,179.425,164.9,179.895,184.207,197.777,205.341,225.84,232.616,255.592,240.699,235.761,242.468,246.9,254.005,262.691,270.986,279.258,287.312,295.112,302.919,310.37,318.027,325.629
NGA,meat_consumption_1,204.332,205.711,210.383,244.463,265.052,267.012,280.991,295.134,298.368,298.88,279.19,316.237,357.889,309.207,323.41,305.61,259.795,327.985,328.215,330.241,307.349,350.981,289.14,379.042,380.979,383.765,370.022,373.043,375.861,376.869,384.472,392.687,402.904,411.933,421.022,429.405,437.338,445.429,453.758,462.12
NOR,meat_consumption_1,76.702,79.135,80.588,82.507,89.42,87.986,90.26,90.068,92.667,89.752,92.781,89.796,90.462,93.068,94.764,96.445,92.356,94.884,98.078,93.87,90.707,94.0,97.806,99.944,92.735,104.388,105.477,103.732,98.218,97.34,99.179,100.924,102.774,103.076,103.49,103.816,104.189,104.521,104.886,105.213
NZL,meat_consumption_1,126.565,118.301,124.116,122.977,108.817,148.142,154.307,135.395,118.486,126.249,128.268,120.941,95.98,133.017,117.647,93.037,102.777,121.514,123.107,109.807,107.158,104.29,100.723,102.525,100.496,91.391,83.324,81.026,80.207,79.32,79.55,80.982,79.567,80.086,80.594,81.107,81.63,82.126,82.627,83.131
PAK,meat_consumption_1,666.745,695.753,730.875,767.64,806.913,846.77,716.795,826.816,845.903,866.759,886.0,908.0,931.0,950.996,977.485,1003.985,1305.157,1342.631,1376.185,1418.449,1461.766,1512.493,1552.379,1607.803,1650.863,1695.116,1762.41,1833.358,1850.668,1868.078,1911.622,1960.302,2007.282,2053.999,2100.232,2147.251,2193.35,2239.52,2285.737,2332.214
PER,meat_consumption_1,123.485,119.545,114.763,113.035,107.456,116.342,119.363,128.556,130.955,139.358,133.332,133.345,138.794,144.617,149.844,158.933,166.307,168.143,167.637,168.917,177.063,183.99,191.698,199.463,201.895,201.972,198.276,194.311,197.244,198.074,197.174,200.632,202.545,205.345,208.261,210.917,214.54,216.113,218.657,220.908
PHL,meat_consumption_1,138.689,139.571,148.742,160.565,180.846,211.252,239.302,281.112,281.13,345.737,375.578,358.324,378.514,379.028,409.821,377.311,377.616,428.881,432.853,402.242,426.397,413.682,405.417,401.413,438.969,437.5,462.931,473.854,480.972,486.836,490.397,501.159,511.35,521.658,531.302,542.039,552.629,563.29,573.615,584.098
PRY,meat_consumption_1,85.842,175.617,201.174,192.905,193.516,203.836,198.635,197.714,192.529,224.538,181.63,173.591,215.748,181.92,108.571,71.485,79.198,86.7,88.974,88.075,82.487,167.884,72.583,85.952,109.653,93.023,112.329,137.615,125.311,120.187,121.476,123.541,125.503,127.324,128.78,130.137,131.328,132.475,133.649,134.8
RUS,meat_consumption_1,0.0,0.0,4278.848,4006.307,3805.007,3304.497,3201.924,3219.442,2947.76,2508.128,2146.845,2338.327,2481.506,2524.366,2487.536,2607.293,2467.0,2721.951,2929.764,2652.627,2591.245,2747.424,2861.387,2513.937,2461.705,2232.391,2080.308,2046.123,2081.058,2098.465,2091.933,2088.603,2088.877,2088.868,2088.031,2088.417,2086.457,2084.276,2082.608,2080.4
SAU,meat_consumption_1,70.37,83.171,87.691,50.697,54.844,96.66,67.145,64.602,81.996,59.836,84.595,52.854,85.015,86.748,108.295,102.274,132.143,144.965,148.849,153.224,171.751,168.97,186.138,182.426,179.586,196.103,184.499,174.808,176.354,186.8,191.788,197.304,202.94,208.581,214.175,219.752,225.329,230.928,236.613,242.35
THA,meat_consumption_1,316.45,318.915,316.184,337.227,274.1,359.024,323.1,284.432,251.973,228.252,199.355,146.619,140.815,142.679,152.129,152.806,161.593,180.68,168.672,170.544,189.666,170.786,156.316,150.943,144.058,125.86,128.644,136.998,129.105,121.7,122.278,122.851,123.83,124.609,125.125,125.343,125.54,125.524,125.637,125.706
TUR,meat_consumption_1,381.679,372.965,337.77,334.276,311.091,309.377,323.286,384.984,363.564,354.702,358.152,333.564,328.653,301.214,375.915,327.208,346.096,431.933,374.954,322.077,659.916,742.358,803.841,851.696,867.409,1030.598,1061.198,991.887,1151.432,1122.8,1153.667,1185.392,1210.36,1234.339,1259.857,1285.989,1311.772,1336.99,1363.699,1391.428
UKR,meat_consumption_1,1985.4,1877.6,1521.645,1286.14,1158.696,981.644,796.546,782.87,681.26,648.542,831.1,551.617,562.849,562.402,539.893,552.62,588.65,530.023,500.446,446.684,419.771,393.351,376.746,407.653,391.847,350.632,339.34,316.916,316.051,289.175,289.12,290.221,291.516,292.328,292.645,292.709,292.43,292.091,291.807,291.488
USA,meat_consumption_1,11047.425,11076.048,11145.846,11018.411,11527.967,11726.191,11902.566,11767.677,12051.787,12324.702,12502.563,12351.209,12737.932,12338.907,12667.489,12663.362,12833.822,12841.442,12447.318,12268.343,12032.32,11689.672,11701.59,11569.143,11211.285,11276.32,11678.355,12046.112,12175.84,12374.514,12386.595,12403.84,12121.05,12177.263,12240.244,12348.722,12507.083,12639.514,12822.208,12902.458
VNM,meat_consumption_1,164.316,165.344,172.917,170.8,175.699,179.945,175.6,164.285,163.284,178.821,186.0,194.488,200.33,205.187,224.133,264.871,304.573,406.921,520.114,621.148,586.863,816.874,845.722,1088.585,1332.012,1303.264,1301.019,1444.601,1231.617,1133.683,1159.863,1194.555,1227.34,1260.194,1293.216,1327.241,1358.668,1390.44,1421.68,1453.093
ZAF,meat_consumption_1,719.0,741.0,718.0,663.0,587.0,591.0,573.0,560.0,560.0,671.0,618.52,604.293,611.888,638.899,691.573,765.158,849.466,847.365,799.331,807.91,891.885,874.988,880.904,950.284,980.541,1034.663,1050.826,977.709,963.511,924.244,955.857,991.605,1025.753,1060.008,1094.256,1129.094,1162.848,1196.756,1230.693,1264.824
ARG,meat_consumption_2,153.631,153.161,192.864,211.257,213.326,227.095,220.9,217.0,253.12,287.452,283.104,228.557,214.715,192.947,209.955,240.605,298.71,307.536,304.846,332.953,321.78,348.663,355.2,426.242,438.752,476.638,539.605,587.0,628.692,653.0,664.976,674.873,681.361,686.442,691.913,699.211,704.598,711.201,717.396,724.19
AUS,meat_consumption_2,0.0,319.998,340.376,340.375,357.027,361.071,337.618,350.254,363.562,365.969,381.067,366.46,408.37,442.616,451.583,487.989,484.445,542.241,524.288,550.576,571.745,563.032,602.02,593.293,610.312,667.964,665.656,695.361,682.955,654.379,660.773,661.369,671.294,682.095,689.878,699.694,708.014,717.216,725.648,734.761
BRA,meat_consumption_2,1062.5,1111.6,1148.8,1207.3,1268.0,1404.1,1545.3,1459.943,1572.929,1600.715,2411.059,2498.141,2419.18,2234.046,2142.913,2123.527,2452.498,2436.801,2547.631,2648.022,2762.815,2949.965,2981.47,2971.85,3200.516,3194.714,3092.877,3237.152,3413.437,3476.422,3475.35,3527.201,3606.641,3587.927,3627.662,3672.042,3713.048,3756.08,3794.527,3837.861
CAN,meat_consumption_2,727.255,728.207,808.46,796.018,827.632,818.604,773.374,763.96,869.679,919.533,885.382,902.857,877.462,799.766,856.796,748.344,769.274,831.488,799.289,799.596,756.515,741.303,780.582,738.781,735.828,831.106,745.217,771.11,808.051,779.849,768.432,775.912,777.284,782.682,787.737,790.169,790.86,794.003,796.847,796.797
CHE,meat_consumption_2,272.614,269.313,267.294,264.267,249.373,256.135,236.506,233.996,246.353,242.722,242.13,243.926,247.254,244.64,244.004,249.679,255.796,254.993,254.33,252.402,262.708,260.236,249.24,249.456,255.997,249.287,249.076,248.78,246.98,248.325,249.21,249.957,250.243,250.977,251.43,251.932,252.442,252.974,253.452,254.029
CHL,meat_consumption_2,121.653,121.191,131.465,144.087,156.661,171.048,182.829,198.232,221.179,238.122,246.997,269.988,268.607,288.035,273.443,286.72,340.052,354.272,387.557,371.417,385.464,409.99,435.064,440.728,406.904,401.292,419.327,449.268,570.941,578.0,586.441,595.717,604.502,613.469,622.643,631.977,641.418,651.067,660.76,670.714
CHN,meat_consumption_2,22569.99,24242.131,26224.895,28374.406,31025.051,31721.453,31365.242,35777.156,38661.555,38839.586,39686.121,40418.469,41115.684,42155.184,42952.356,45083.965,46145.875,42750.723,46534.063,49378.426,51488.337,51740.453,54911.485,56738.713,58704.595,57268.785,56103.999,55877.263,55372.369,44791.144,41921.655,43843.489,47148.477,50153.934,53171.456,56207.161,57453.51,57735.797,57997.07,58277.44
COL,meat_consumption_2,133.88,133.804,135.389,135.075,136.162,138.99,132.65,107.671,82.378,113.486,110.329,103.856,113.37,126.65,131.924,130.95,152.372,185.4,181.537,180.607,207.284,237.655,366.642,304.565,334.176,369.941,415.409,453.133,511.9,573.9,579.056,596.434,610.032,624.614,640.353,656.211,673.187,687.474,702.738,718.582
EGY,meat_consumption_2,2.429,2.484,2.887,2.907,2.8,2.791,2.845,2.935,8.227,3.047,3.098,3.0,2.792,2.641,3.157,2.151,2.912,3.88,2.155,0.857,0.422,0.808,0.849,0.855,0.535,0.539,0.766,2.594,0.271,0.263,0.264,0.271,0.278,0.284,0.29,0.296,0.301,0.306,0.312,0.317
ETH,meat_consumption_2,1.05,1.1,1.15,1.15,1.155,1.212,1.267,1.322,1.397,1.455,1.466,1.553,1.495,1.663,1.65,1.703,1.767,1.73,1.729,1.685,1.818,1.894,1.927,2.012,2.534,2.073,2.082,2.048,2.048,2.048,2.065,2.092,2.11,2.131,2.153,2.175,2.197,2.219,2.241,2.264
GBR,meat_consumption_2,1316.343,1320.28,1312.637,1309.799,1344.151,1289.743,1319.407,1314.824,1353.849,1320.556,1292.756,1331.269,1345.806,1402.666,1379.117,1397.642,1391.348,1450.97,1364.245,1362.039,1353.655,1347.425,1327.326,1305.26,1345.066,1383.315,1450.053,1422.308,1449.039,1389.212,1376.473,1390.818,1397.52,1402.632,1408.164,1410.457,1409.077,1409.757,1410.261,1411.615
IDN,meat_consumption_2,546.873,574.818,586.241,622.661,660.6,572.569,599.995,633.993,621.809,550.063,414.598,419.329,464.448,497.905,194.244,176.525,199.637,230.742,211.021,200.274,212.427,225.419,233.046,300.759,305.137,335.881,345.893,345.133,348.544,349.35,351.735,359.832,366.224,371.763,377.496,382.409,387.027,390.762,394.748,398.899
IND,meat_consumption_2,412.997,427.0,444.493,447.943,450.8,453.883,558.107,464.398,463.283,464.38,465.562,466.641,467.369,469.499,443.827,425.033,404.437,385.206,379.46,379.072,371.227,364.608,357.74,354.097,350.495,344.159,316.733,305.668,300.035,296.187,297.212,294.972,294.206,292.501,290.329,287.801,284.859,281.367,277.538,273.783
IRN,meat_consumption_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ISR,meat_consumption_2,9.176,9.337,9.265,8.685,8.691,10.241,10.405,11.819,11.827,8.588,14.774,15.676,16.42,17.374,17.943,18.548,17.401,18.136,18.012,19.378,18.696,18.555,19.196,16.067,15.394,15.471,15.745,14.444,14.646,14.646,14.646,14.646,14.646,14.646,14.646,14.646,14.646,14.646,14.646,14.646
JPN,meat_consumption_2,2071.813,2082.682,2089.852,2079.114,2097.024,2110.846,2220.733,2064.941,2051.12,2099.959,2179.85,2236.454,2350.444,2316.988,2474.045,2459.773,2304.243,2349.367,2390.896,2333.597,2364.555,2404.854,2389.876,2383.58,2411.883,2454.667,2518.737,2605.978,2609.678,2627.589,2615.523,2603.574,2586.426,2569.295,2552.687,2536.612,2519.968,2503.904,2486.912,2470.829
KAZ,meat_consumption_2,286.0,274.0,221.2,196.712,156.826,108.9,108.392,84.284,82.335,97.379,86.318,117.444,116.504,112.702,122.954,124.202,129.434,132.282,146.669,138.687,138.435,150.522,150.429,145.232,137.818,126.538,121.05,123.308,113.454,112.1,112.285,113.018,113.413,113.767,114.194,114.625,115.046,115.49,115.888,116.327
KOR,meat_consumption_2,0.0,552.615,748.458,762.231,794.642,835.256,900.375,895.847,890.936,1030.494,969.216,1013.069,1046.943,1291.64,1198.86,1177.305,1423.507,1505.964,1524.596,1484.984,1544.08,1492.185,1551.449,1633.671,1665.412,1819.203,1901.912,1934.821,2007.746,2050.906,2074.759,2081.613,2085.913,2090.724,2095.633,2100.745,2105.772,2111.074,2115.925,2121.252
MEX,meat_consumption_2,789.761,865.575,874.326,867.531,948.929,945.392,927.596,970.427,1041.898,1083.245,1170.036,1210.737,1264.078,1320.108,1371.296,1369.725,1416.922,1440.425,1447.896,1598.238,1607.459,1532.55,1679.2,1776.725,1810.469,1957.032,2030.253,2128.381,2273.038,2355.323,2383.541,2420.584,2451.052,2481.401,2512.584,2543.809,2574.55,2605.359,2635.276,2666.344
MYS,meat_consumption_2,232.63,237.369,255.681,267.045,287.603,286.978,280.795,283.419,267.262,168.989,173.054,202.162,211.126,194.92,203.817,212.07,219.7,202.167,198.494,207.124,246.326,227.143,225.062,225.03,229.156,242.403,219.633,218.275,223.069,221.1,221.784,223.525,224.519,225.556,226.721,227.9,229.031,230.226,231.327,232.536
NGA,meat_consumption_2,106.916,106.809,112.51,117.006,121.504,133.726,138.226,142.726,147.226,156.226,157.552,165.422,192.524,179.118,186.165,193.455,201.461,209.25,217.602,226.318,234.132,243.449,249.231,254.65,252.732,266.494,274.937,278.145,281.007,280.1,285.072,293.42,298.115,305.594,310.877,317.979,323.652,330.398,336.701,343.493
NOR,meat_consumption_2,83.792,86.252,88.305,92.374,95.663,100.768,107.141,101.739,107.053,99.821,103.936,110.08,105.393,109.385,113.505,117.649,116.148,125.926,124.638,123.848,127.891,131.952,131.25,129.326,131.882,139.767,142.106,141.654,143.537,145.023,146.666,147.724,148.619,149.69,150.65,151.694,152.678,153.714,154.685,155.71
NZL,meat_consumption_2,47.8,46.629,49.262,52.98,60.636,58.539,59.61,57.056,60.675,65.535,66.207,62.869,65.844,71.076,77.669,79.73,85.928,87.282,88.121,88.201,82.973,90.515,92.282,92.07,95.83,105.226,104.242,111.971,115.135,116.128,117.853,119.124,120.264,121.449,122.632,123.833,125.022,126.212,127.373,128.572
PAK,meat_consumption_2,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.001,0.003,0.003,0.0,0.0,0.0,0.014,0.013,0.192,0.192,0.022,0.051,0.051,0.051,0.021,0.021,0.021,0.021,0.011,0.028,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098
PER,meat_consumption_2,66.523,68.876,73.096,75.651,78.106,80.504,83.494,86.98,71.25,66.462,91.977,93.325,92.823,93.163,99.369,105.357,110.223,116.067,116.883,116.864,120.157,121.779,127.866,134.132,143.217,153.408,159.444,169.196,172.412,174.396,172.461,178.704,182.373,187.062,191.88,196.739,203.123,206.015,210.85,215.906
PHL,meat_consumption_2,684.805,701.7,658.555,731.053,757.381,814.234,1042.95,1097.913,1144.613,1212.756,1249.843,1298.557,1371.061,1405.071,1387.795,1436.705,1583.794,1637.609,1645.627,1680.532,1726.481,1727.36,1740.165,1791.477,1801.821,1872.125,1967.761,1973.457,2043.518,2109.7,2095.341,2128.78,2167.822,2211.55,2252.81,2292.861,2334.908,2375.405,2416.539,2459.411
PRY,meat_consumption_2,118.133,120.545,126.485,126.791,127.824,130.159,116.122,118.068,119.445,120.668,157.318,143.545,150.61,84.275,155.949,150.955,154.388,147.847,143.466,144.416,161.47,166.165,169.407,176.127,180.381,184.429,188.828,190.64,191.336,193.0,194.585,197.851,200.553,203.58,206.372,209.083,211.784,214.444,217.044,219.683
RUS,meat_consumption_2,0.0,0.0,0.0,2792.227,2514.14,2378.134,2216.252,2239.944,2216.9,2018.0,1791.508,1913.071,2226.72,2109.241,2171.142,2381.957,2574.325,3045.058,3329.991,3202.871,3087.74,3411.927,3363.74,3559.835,3334.421,3378.912,3572.59,3738.69,3727.922,3849.082,3875.48,3912.982,3921.593,3937.891,3954.784,3971.868,3989.693,4009.136,4025.114,4045.359
