Country,Short Names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
SAU,meat_consumption_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.776,2.6,2.274,2.49,4.741,4.147,5.409,0.023,0.052,6.21,8.605,9.196,4.631,7.9,7.993,6.983,20.913,20.908,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9
THA,meat_consumption_2,336.01,400.503,432.791,457.627,487.9,486.05,509.64,530.495,463.712,450.025,685.529,687.819,770.875,852.624,863.707,896.29,975.404,990.664,879.579,855.298,879.673,859.597,923.645,941.23,923.449,913.002,895.96,882.611,878.045,876.4,878.56,888.25,894.679,899.256,904.14,906.962,909.655,910.317,911.889,913.671
TUR,meat_consumption_2,0.403,0.375,0.3,0.214,0.341,0.341,0.11,0.086,0.13,0.112,0.197,0.038,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,meat_consumption_2,1576.3,1421.1,1167.852,1008.413,860.378,805.202,787.519,700.685,676.503,638.704,746.022,592.846,602.43,626.32,599.267,543.8,585.207,710.235,799.512,687.601,765.731,802.702,934.266,934.748,771.37,736.468,748.85,737.639,733.994,725.661,718.474,724.711,731.344,739.474,745.896,752.855,759.382,765.761,771.912,778.311
USA,meat_consumption_2,7271.306,7438.693,7927.068,7901.17,8087.108,8059.439,7618.093,7629.886,8304.833,8597.4,8456.333,8387.84,8684.944,8815.578,8816.304,8669.975,8640.945,8966.171,8814.218,8998.38,8656.821,8332.955,8408.706,8684.036,8650.017,9340.839,9476.463,9541.327,9748.165,10126.008,10177.303,10191.614,10212.93,10240.507,10351.712,10440.556,10513.526,10544.739,10582.859,10626.998
VNM,meat_consumption_2,712.404,690.523,807.69,858.3,945.138,1000.681,1047.484,1089.498,1161.425,1248.972,1404.531,1487.739,1639.938,1786.104,2268.723,2277.456,2597.806,2564.975,2786.974,3062.346,3047.922,3117.908,3213.08,3362.623,3518.102,3580.12,3669.954,3736.858,3884.225,3241.798,3154.699,3300.171,3445.025,3594.349,3742.971,3894.828,4094.367,4275.093,4358.456,4431.887
ZAF,meat_consumption_2,130.149,113.43,129.246,122.124,122.472,138.541,135.016,129.949,124.446,132.945,122.561,124.711,124.375,171.154,185.856,175.83,207.528,214.933,197.928,215.557,232.727,239.887,248.249,242.133,235.312,249.715,248.023,246.33,272.1,274.399,278.434,285.518,291.984,298.523,305.225,311.838,318.572,325.366,332.181,339.228
ARG,meat_consumption_3,321.0,333.8,382.04,596.1,719.01,738.595,786.219,770.086,811.557,954.823,959.578,932.888,660.456,697.746,826.192,934.525,1086.653,1160.856,1273.18,1367.82,1464.41,1643.89,1749.15,1711.1,1777.8,1921.4,1924.5,1914.4,1939.0,1929.665,1955.504,1975.054,1994.604,2014.153,2033.703,2053.252,2072.802,2092.351,2111.901,2131.451
AUS,meat_consumption_3,425.003,436.571,443.68,476.22,494.982,495.162,508.785,538.887,583.855,597.853,640.563,637.465,716.384,700.391,741.201,781.743,820.738,826.416,806.28,829.954,947.731,1011.635,1049.383,1061.305,1094.188,1141.933,1227.258,1211.037,1198.318,1245.5,1268.965,1293.27,1318.382,1342.352,1352.134,1368.501,1384.625,1401.356,1418.572,1435.141
BRA,meat_consumption_3,2118.732,2380.605,2572.767,2708.908,3007.8,3711.853,3578.253,3917.06,4338.278,4860.652,5176.023,5059.204,5535.409,5907.974,6304.614,5166.996,5615.413,5959.553,6876.862,6653.042,8676.876,9090.358,9021.138,8980.604,9156.336,9519.466,9445.025,9660.953,9547.336,9664.7,9845.757,9914.307,9953.047,10003.467,10049.345,10090.705,10124.307,10162.378,10198.018,10231.638
CAN,meat_consumption_3,764.27,773.108,783.331,812.23,873.857,872.418,874.623,899.54,928.175,977.779,1032.593,1084.031,1105.847,1121.281,1140.872,1158.232,1180.521,1197.88,1215.376,1214.82,1216.157,1190.316,1193.105,1217.451,1262.945,1332.865,1372.117,1394.681,1464.571,1501.96,1522.155,1547.285,1574.196,1598.429,1619.866,1642.173,1664.078,1686.09,1707.142,1728.645
CHE,meat_consumption_3,73.642,77.682,75.81,74.649,79.76,79.174,85.761,86.538,88.38,87.14,95.849,101.663,104.623,108.334,108.223,105.358,101.036,117.117,126.15,127.477,128.922,132.524,133.707,137.191,144.882,148.408,151.469,148.967,142.086,143.798,145.252,146.982,148.648,150.677,152.752,154.805,156.837,158.873,160.902,162.929
CHL,meat_consumption_3,117.82,132.23,200.019,239.364,267.163,311.464,330.431,331.957,361.905,371.195,405.449,434.867,417.53,423.418,470.558,472.022,545.281,569.229,542.431,525.273,560.75,614.971,623.237,640.473,640.981,684.746,730.445,737.922,751.871,753.0,778.226,790.148,802.118,813.958,826.036,838.075,850.269,862.705,875.433,888.307
CHN,meat_consumption_3,0.0,3928.558,4479.748,5722.122,6566.2,8380.38,8416.131,9676.612,10756.478,11270.593,12244.767,11941.14,12059.592,12608.265,12449.588,13392.821,13830.221,14920.952,15920.892,16443.028,16754.617,17087.698,18309.687,18113.205,17522.478,18263.344,19105.245,18997.384,19992.247,22845.357,23210.239,22972.585,22748.53,22836.824,22933.354,23027.521,23167.931,23310.931,23453.194,23590.693
COL,meat_consumption_3,298.562,388.335,415.971,455.987,511.736,570.02,489.062,459.679,531.117,522.231,537.049,633.9,684.216,709.939,728.855,794.421,885.731,964.778,1051.035,1061.709,1116.238,1126.775,1169.69,1331.173,1414.818,1483.695,1564.638,1645.305,1723.917,1772.011,1809.3,1857.319,1896.217,1940.571,1985.993,2031.235,2080.753,2121.217,2165.335,2210.275
EGY,meat_consumption_3,272.038,304.302,317.52,330.373,358.6,406.919,422.741,541.299,534.598,590.061,595.335,621.761,743.427,687.068,650.288,664.691,726.957,820.164,758.126,836.273,883.141,934.419,995.63,1160.841,1246.176,1238.681,1262.878,1347.301,1220.98,1276.973,1315.153,1355.088,1395.77,1437.463,1480.577,1524.673,1570.169,1617.072,1665.394,1715.05
ETH,meat_consumption_3,35.64,35.64,35.9,36.0,35.971,35.97,36.17,36.3,36.962,37.241,37.602,49.837,54.057,50.242,47.112,42.581,45.209,46.25,48.603,49.793,57.496,53.942,60.499,61.86,41.058,12.296,13.135,13.701,14.025,14.025,14.523,14.713,14.893,15.065,15.247,15.461,15.826,16.229,16.662,17.179
GBR,meat_consumption_3,1022.949,1073.414,1287.438,1327.223,1429.289,1474.721,1552.405,1592.337,1705.144,1703.774,1703.726,1731.81,1710.325,1709.585,1751.847,1789.616,1725.457,1631.02,1592.661,1626.772,1776.435,1784.578,1806.69,1831.562,1817.665,1982.536,2076.822,2050.991,2169.426,2306.924,2349.12,2364.163,2375.2,2384.679,2395.463,2405.353,2413.81,2422.447,2431.803,2439.956
IDN,meat_consumption_3,508.904,583.773,547.633,698.79,816.4,876.814,949.208,899.47,618.346,626.32,831.655,923.424,1102.606,1135.506,1214.33,1151.101,1288.535,1345.908,1386.307,1433.328,1561.433,1689.556,1764.764,1870.129,1971.367,2065.497,2344.211,2299.763,2287.832,2377.9,2444.842,2514.993,2589.574,2663.99,2741.345,2815.658,2890.674,2960.408,3033.567,3107.888
IND,meat_consumption_3,391.342,522.365,540.181,608.148,625.0,641.823,659.871,664.556,737.949,810.041,903.782,962.917,1126.755,1242.1,1340.202,1439.783,1554.199,1789.784,1916.97,2119.686,2222.015,2505.201,2707.058,2872.854,3064.955,3283.691,3428.045,3540.624,3700.344,3737.32,3955.651,4107.122,4253.738,4407.237,4554.686,4716.754,4883.321,5052.014,5222.719,5395.09
IRN,meat_consumption_3,395.24,436.935,566.455,628.91,635.813,658.52,682.02,727.663,747.508,754.939,830.145,886.977,944.172,1106.663,1170.988,1235.14,1356.269,1504.566,1567.057,1614.573,1680.834,1830.639,1896.452,1961.304,1986.677,2014.379,2070.32,2128.208,2144.285,2185.9,2229.704,2267.73,2305.398,2342.907,2380.681,2418.261,2455.842,2493.411,2530.967,2568.521
ISR,meat_consumption_3,175.258,189.473,209.499,225.717,247.894,246.64,254.658,259.02,263.615,274.538,402.179,434.526,446.678,441.825,458.876,477.362,507.234,510.213,511.394,522.5,528.253,541.409,554.333,508.806,558.713,593.443,637.021,626.135,622.162,624.1,638.031,652.205,666.406,680.831,695.293,709.896,724.667,739.585,754.692,769.993
JPN,meat_consumption_3,1784.404,1680.944,1736.809,1707.512,1787.153,1804.29,1866.966,1820.708,1727.12,1737.49,1860.738,1917.739,1862.648,1844.257,1805.436,1917.83,1952.02,1969.78,1946.9,1998.77,2085.61,2075.234,2206.41,2193.19,2226.18,2301.733,2368.674,2448.227,2511.438,2551.921,2548.8,2547.457,2546.122,2544.783,2543.448,2542.112,2540.776,2539.44,2538.103,2536.766
KAZ,meat_consumption_3,201.0,185.0,140.85,115.79,81.17,56.44,54.473,56.166,54.382,43.067,53.588,66.613,84.297,96.255,121.925,155.903,215.009,208.445,195.416,189.368,239.316,261.621,326.449,303.648,281.688,292.107,300.302,339.716,363.737,348.493,357.649,367.058,376.158,387.804,397.84,408.092,418.416,428.812,439.269,449.796
KOR,meat_consumption_3,271.5,332.266,374.848,393.698,397.9,437.717,472.472,445.925,396.834,494.431,518.219,569.778,592.131,523.64,464.954,600.174,645.238,637.513,635.118,677.81,746.613,803.229,809.611,822.703,925.041,973.199,1001.096,996.221,1048.699,1087.0,1091.917,1097.204,1102.609,1107.911,1113.347,1118.577,1123.64,1128.642,1133.705,1138.668
MEX,meat_consumption_3,848.035,995.553,1071.894,1261.1,1369.909,1515.516,1505.322,1750.495,1931.271,2080.252,2229.966,2351.655,2516.807,2686.007,2783.345,3029.62,3112.794,3167.94,3261.932,3314.587,3421.165,3532.197,3612.905,3690.316,3801.833,3928.083,4073.135,4223.313,4316.464,4426.506,4481.279,4545.59,4607.493,4666.412,4726.808,4786.412,4844.737,4903.168,4961.435,5019.424
MYS,meat_consumption_3,385.605,471.44,556.183,640.706,680.893,705.104,713.698,723.358,734.773,757.758,739.387,779.622,849.686,870.362,933.017,976.677,1039.762,1102.734,1147.699,1180.914,1280.687,1325.931,1388.616,1472.181,1590.551,1649.933,1778.445,1743.712,1776.741,1797.837,1842.653,1881.037,1919.699,1958.164,1997.305,2036.431,2077.016,2117.828,2159.562,2202.069
NGA,meat_consumption_3,174.105,165.0,162.0,165.0,168.05,169.0,170.0,171.04,172.04,174.0,160.437,189.319,194.402,201.539,211.0,218.75,232.101,243.3,260.0,273.016,245.01,198.308,229.207,193.186,196.606,204.674,209.319,201.599,198.113,196.113,197.138,198.12,199.116,200.12,201.152,202.261,203.315,204.52,206.072,207.882
NOR,meat_consumption_3,20.084,20.539,23.117,23.088,26.172,29.658,32.619,33.488,31.429,36.754,43.607,43.348,46.808,49.872,54.99,58.198,63.642,71.199,84.858,82.335,84.673,85.131,93.743,106.461,104.728,93.963,100.532,103.26,105.021,108.441,109.887,111.346,112.805,114.214,115.667,117.092,118.503,119.895,121.295,122.69
NZL,meat_consumption_3,56.3,58.3,60.9,68.2,75.363,92.992,91.078,89.122,97.411,100.627,107.678,117.499,129.263,142.042,149.538,158.968,152.855,146.479,147.1,139.034,142.92,148.207,165.116,165.932,173.553,176.796,197.744,206.085,213.546,223.395,219.625,221.175,223.34,225.498,227.66,229.822,231.985,234.147,236.309,238.471
PAK,meat_consumption_3,160.705,154.9,173.16,269.29,300.42,312.55,359.701,391.673,288.689,314.771,331.995,343.96,359.843,377.229,383.281,389.039,517.682,558.844,605.742,661.414,732.712,792.738,853.819,920.279,1008.986,1102.455,1200.769,1302.664,1409.376,1529.425,1567.793,1607.044,1647.152,1688.339,1730.695,1773.993,1818.311,1863.748,1910.343,1958.268
PER,meat_consumption_3,249.119,295.55,322.876,306.183,320.485,357.581,391.461,441.948,473.159,504.828,519.854,524.866,563.91,584.988,584.297,657.422,717.81,779.576,886.739,980.033,1041.456,1124.777,1234.81,1282.896,1344.733,1361.374,1454.969,1524.374,1644.854,1696.6,1739.68,1785.798,1832.384,1879.797,1928.739,1978.756,2029.64,2081.576,2134.981,2190.316
PHL,meat_consumption_3,241.965,287.214,307.572,364.015,381.41,420.051,475.907,518.622,518.517,548.425,577.633,627.299,669.76,680.552,706.108,703.447,720.632,817.662,887.99,916.297,993.1,1056.152,1159.935,1211.258,1310.654,1412.16,1472.403,1523.963,1595.23,1656.861,1713.077,1774.66,1837.064,1900.792,1967.236,2035.579,2105.605,2178.278,2253.387,2330.886
PRY,meat_consumption_3,24.724,18.608,20.166,22.108,30.855,33.791,34.485,36.631,38.049,41.966,34.889,38.178,38.213,38.951,43.036,43.014,46.582,31.118,37.937,37.114,36.052,40.665,41.912,43.463,43.878,43.966,42.316,41.384,41.522,42.448,42.87,43.339,43.706,44.134,44.49,44.844,45.188,45.508,45.822,46.117
RUS,meat_consumption_3,0.0,0.0,1484.034,1455.22,1767.4,1829.7,1943.316,2082.973,1896.369,1888.57,1464.899,2153.506,2337.123,2319.246,2355.54,2776.843,2951.226,3265.123,3479.081,3551.915,3561.354,3709.108,4225.121,4369.633,4563.635,4776.608,4759.522,5034.422,5039.197,5076.07,5110.342,5122.296,5144.241,5161.844,5181.776,5200.072,5217.933,5236.615,5253.691,5270.919
SAU,meat_consumption_3,475.191,525.059,473.659,450.339,432.053,565.801,548.728,617.672,700.823,780.345,814.724,890.329,862.936,880.611,829.991,976.389,947.117,1003.039,1077.171,1180.693,1237.304,1238.449,1239.501,1414.464,1435.249,1539.566,1523.632,1293.805,1343.429,1355.132,1373.788,1392.985,1411.987,1430.842,1449.81,1468.662,1487.473,1506.274,1525.06,1543.834
THA,meat_consumption_3,524.17,699.791,849.797,878.261,814.6,812.46,857.526,840.284,900.182,798.487,747.168,752.542,685.014,722.963,588.646,760.001,677.175,760.037,630.206,636.014,631.311,626.926,748.085,979.76,1068.013,814.929,695.088,619.814,651.583,616.257,623.3,631.161,638.916,646.435,654.028,661.531,668.822,676.159,683.508,690.793
TUR,meat_consumption_3,414.6,414.312,440.303,459.047,477.271,501.3,427.022,475.715,497.289,604.874,666.018,613.305,710.99,884.585,889.437,936.972,897.479,1050.061,1046.84,1211.013,1336.552,1410.726,1457.105,1428.171,1531.979,1619.416,1601.654,1758.351,1733.571,1796.786,1827.539,1872.397,1914.318,1953.727,1991.143,2028.609,2067.561,2105.985,2146.245,2187.301
UKR,meat_consumption_3,708.4,654.4,499.2,363.725,264.836,235.092,308.762,241.619,251.17,291.719,244.944,333.274,394.917,444.664,687.141,667.269,772.543,855.393,1072.681,1094.246,1103.633,1037.339,1139.722,1124.618,1083.542,1072.89,1034.783,1058.425,1079.029,1110.0,1123.779,1141.275,1158.212,1173.605,1188.835,1202.973,1216.576,1229.936,1242.986,1255.453
USA,meat_consumption_3,10047.99,10564.633,11079.007,11383.821,11681.832,11768.015,12138.6,12365.85,12618.955,13547.46,13838.213,13981.094,14775.789,15028.27,15485.106,15851.712,16081.683,15976.45,16074.879,15497.455,15990.057,16471.319,15888.453,15938.801,16313.923,17423.411,17773.585,18064.791,18376.41,18733.631,19169.036,19218.463,19364.111,19474.561,19585.797,19691.512,19797.082,19900.415,20007.565,20109.668
VNM,meat_consumption_3,169.56,164.67,175.52,168.07,170.05,175.22,196.597,284.956,299.736,325.44,365.342,385.371,430.243,456.507,427.458,400.805,473.363,613.667,781.966,897.224,1092.26,1570.368,1257.183,1247.536,1351.58,1601.51,1450.986,1291.343,1684.265,1794.5,1846.542,1902.946,1960.523,2018.881,2079.182,2140.973,2203.838,2268.941,2335.783,2404.496
ZAF,meat_consumption_3,556.058,525.333,535.321,546.669,628.9,709.422,710.258,780.825,725.003,800.037,894.465,953.234,1003.441,1046.535,1084.411,1162.906,1262.309,1399.705,1547.519,1598.91,1671.001,1772.399,1829.434,2009.806,2113.786,2131.448,2161.028,2150.789,2266.658,2257.916,2302.104,2347.153,2392.063,2435.989,2480.069,2523.189,2565.847,2608.237,2650.418,2692.175
ARG,meat_consumption_4,84.597,88.231,72.156,72.133,92.807,88.377,71.567,65.847,58.239,55.352,59.164,59.153,58.38,56.665,55.104,52.502,51.653,53.059,50.21,47.773,47.965,51.034,56.101,55.215,59.113,56.136,50.032,48.354,48.854,49.354,49.978,50.421,50.925,51.427,51.919,52.4,52.905,53.412,53.925,54.43
AUS,meat_consumption_4,366.452,379.246,355.184,349.866,374.265,309.057,305.815,314.725,326.886,325.594,353.24,326.689,303.789,271.012,270.734,274.981,288.541,299.167,266.458,255.413,225.907,206.07,227.034,230.507,217.634,254.168,234.352,216.656,197.556,177.0,170.222,173.237,174.309,181.132,183.781,184.697,183.335,181.187,182.78,184.324
BRA,meat_consumption_4,114.398,115.839,117.003,122.806,120.3,129.149,103.502,106.761,108.742,114.288,109.31,104.733,101.598,100.595,108.379,110.097,113.472,114.538,116.222,115.367,117.664,118.276,120.769,124.657,126.112,128.996,128.481,125.621,124.53,124.7,125.771,126.841,127.412,127.983,128.555,129.126,129.697,130.268,130.84,131.411
CAN,meat_consumption_4,22.96,24.33,23.88,24.52,23.83,23.75,22.33,22.13,25.01,26.06,28.95,32.09,32.37,34.2,35.32,36.03,39.52,40.14,38.85,38.86,36.98,36.53,33.59,35.17,37.31,37.42,38.4,40.53,43.04,41.592,41.769,41.99,42.233,42.452,42.408,42.35,42.176,42.242,42.15,42.099
CHE,meat_consumption_4,12.421,12.278,12.778,12.598,12.435,12.417,13.196,13.708,13.217,12.761,14.326,13.139,13.286,13.491,13.628,13.069,12.716,12.208,12.072,11.75,12.012,12.124,11.759,11.299,12.44,12.342,12.572,11.557,11.551,11.551,11.271,11.305,11.339,11.372,11.405,11.439,11.471,11.505,11.539,11.573
CHL,meat_consumption_4,12.247,13.413,14.829,14.222,12.593,11.807,11.669,12.36,12.983,13.167,12.659,10.935,10.871,9.649,9.393,9.002,10.885,11.086,12.349,10.688,9.448,10.466,10.468,8.559,9.517,9.292,8.534,8.81,8.643,10.12,10.164,10.217,10.268,10.307,10.342,10.369,10.393,10.41,10.424,10.435
CHN,meat_consumption_4,0.0,1177.752,1248.4,1371.189,1479.1,1745.15,1812.294,2130.744,2352.357,2519.983,2663.427,2704.65,2830.081,3067.875,3291.055,3461.319,3594.509,3801.743,3792.314,3899.327,4036.742,4005.576,4128.894,4336.856,4560.503,4629.548,4812.735,4923.317,5030.158,5270.919,5405.547,5501.679,5599.982,5695.791,5790.4,5885.98,5916.486,5948.877,5982.26,6013.92
COL,meat_consumption_4,12.195,11.534,12.309,13.126,13.117,13.279,12.051,13.05,12.103,11.779,13.326,12.997,12.187,12.315,12.084,11.902,11.667,11.563,11.313,11.156,10.871,10.738,7.813,7.298,8.098,8.398,7.79,7.861,8.013,8.013,8.096,8.14,8.16,8.152,8.163,8.172,8.186,8.185,8.178,8.174
EGY,meat_consumption_4,82.131,73.746,76.196,80.628,87.65,90.849,90.416,93.789,95.92,81.289,125.989,128.923,137.066,139.849,137.515,138.735,141.66,149.539,151.422,145.434,131.006,127.398,131.059,129.985,131.328,128.134,130.519,125.399,125.015,125.998,127.834,129.568,131.249,132.918,134.539,136.111,137.667,139.198,140.722,142.238
ETH,meat_consumption_4,59.29,59.675,60.335,60.607,60.517,60.161,60.558,59.288,61.683,61.395,60.398,66.134,79.386,85.27,101.425,109.451,128.209,145.049,138.189,144.274,142.616,138.295,143.842,148.137,101.709,38.553,45.383,55.94,56.098,58.801,60.044,61.299,62.514,63.733,64.925,66.124,67.289,68.499,69.717,70.916
GBR,meat_consumption_4,417.357,397.888,386.149,381.705,357.857,361.808,383.318,362.331,371.592,378.922,391.864,341.636,360.323,361.524,375.175,375.794,378.413,390.139,372.32,350.343,313.089,298.989,283.289,300.712,302.245,333.527,324.12,305.577,299.124,302.0,302.996,303.243,303.534,303.815,303.864,303.964,303.925,304.111,304.37,304.515
IDN,meat_consumption_4,90.267,94.734,99.681,111.769,100.0,95.021,99.34,107.865,82.028,78.208,78.857,94.078,127.062,144.959,123.703,98.761,140.903,121.037,113.753,128.935,114.445,114.126,110.748,108.016,110.683,112.205,115.851,127.38,130.033,132.199,132.611,134.078,135.982,138.017,139.991,141.787,143.605,145.146,146.691,148.183
IND,meat_consumption_4,602.873,611.178,619.043,624.178,626.0,654.64,663.126,672.931,678.951,681.613,677.903,689.71,692.029,686.235,715.233,741.193,766.721,791.771,772.583,715.045,759.717,753.881,743.068,726.758,717.47,708.951,722.37,711.407,713.248,712.85,720.496,728.225,735.714,743.3,750.91,758.553,766.116,773.715,781.307,788.879
IRN,meat_consumption_4,352.5,409.0,410.81,390.612,383.0,383.0,410.45,417.0,438.991,399.112,435.798,443.636,449.705,416.85,427.3,432.0,435.994,454.272,348.364,357.374,378.563,381.227,383.306,358.31,367.711,382.548,361.61,374.003,393.057,397.2,397.455,397.818,398.051,398.263,398.312,398.4,398.319,398.432,398.585,398.667
ISR,meat_consumption_4,6.0,6.0,6.0,7.027,7.26,7.705,7.495,6.85,7.6,8.26,8.608,8.492,7.912,8.482,8.567,9.354,10.639,10.883,11.778,12.601,13.644,15.731,15.506,14.492,16.148,14.242,13.422,13.997,14.663,14.8,15.101,15.401,15.702,16.004,16.307,16.614,16.922,17.234,17.549,17.868
JPN,meat_consumption_4,105.12,107.753,113.532,95.979,80.637,82.76,71.57,63.16,60.62,50.97,46.34,44.52,42.67,36.67,46.46,53.06,53.49,38.59,39.05,39.44,31.62,31.86,27.456,18.168,20.39,18.505,20.047,22.192,24.565,25.0,23.011,22.622,22.231,21.836,21.433,21.032,20.624,20.225,19.828,19.427
KAZ,meat_consumption_4,278.0,270.0,232.9,263.3,239.8,192.076,165.559,146.292,119.182,98.922,95.293,97.064,101.62,96.065,101.659,106.771,115.167,123.669,131.272,135.048,142.681,149.201,153.791,157.117,162.199,165.172,168.984,170.611,169.047,172.948,175.961,178.82,181.631,184.455,187.224,189.927,192.606,195.249,197.878,200.494
KOR,meat_consumption_4,9.563,7.896,15.467,11.516,14.189,12.722,10.887,9.606,8.067,6.814,5.701,4.889,5.699,5.512,5.978,6.078,5.838,5.819,5.73,5.327,5.665,6.489,6.701,6.592,8.692,10.94,14.39,19.195,18.835,19.299,19.317,19.336,19.354,19.372,19.39,19.408,19.426,19.445,19.463,19.481
MEX,meat_consumption_4,44.729,59.119,64.495,66.582,70.445,44.176,43.861,54.704,57.993,66.794,80.293,86.194,87.904,118.775,103.257,86.041,83.702,86.353,85.731,77.294,72.87,70.268,65.918,74.956,74.994,76.713,73.362,74.991,76.36,79.034,79.689,80.207,80.757,81.414,82.138,83.042,83.785,84.549,85.387,86.184
MYS,meat_consumption_4,7.594,7.767,9.44,9.244,9.052,12.201,14.842,13.247,13.391,14.223,14.346,16.74,15.258,12.973,15.571,16.206,17.606,19.585,19.915,20.551,24.424,21.144,25.215,30.03,35.681,38.464,37.681,43.14,40.866,38.501,40.031,41.419,42.858,44.262,45.684,47.079,48.485,49.858,51.269,52.686
NGA,meat_consumption_4,164.65,170.497,174.13,181.155,205.677,222.227,238.295,269.536,289.895,311.992,336.662,366.438,372.285,376.848,386.2,394.057,405.764,415.391,422.82,433.144,458.23,381.93,339.787,374.724,384.11,393.719,387.273,397.358,395.056,395.056,402.851,410.594,418.33,426.086,433.856,441.809,449.532,457.35,465.198,473.036
NOR,meat_consumption_4,23.308,24.464,25.014,25.447,27.152,27.486,27.734,25.126,23.705,22.917,24.372,25.073,25.463,24.786,26.454,26.308,25.721,26.237,26.714,25.311,25.821,25.043,25.591,26.791,26.536,27.283,26.888,28.255,27.936,27.772,27.583,27.467,27.344,27.214,27.078,26.946,26.804,26.676,26.551,26.419
NZL,meat_consumption_4,107.451,116.585,119.101,86.886,158.777,125.398,64.154,111.535,113.453,98.623,111.751,120.172,92.807,111.226,95.027,94.876,90.616,83.385,65.774,31.366,29.341,27.874,28.182,31.55,32.55,30.767,29.215,28.282,22.853,19.547,18.882,18.537,18.316,18.224,18.085,17.855,17.598,17.356,17.122,16.889
