area,Source,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
JPN,FAOSTAT_3,total_pesticides_use,79821.18,79821.18,79821.18,79821.18,79821.18,79821.18,79821.18,79821.18,79821.18,79821.18,79821.18,78735.45,70262.54,67869.72,64688.88,63829.77,65248.26,61164.07,58750,60970.8,55576,51796.3,54716.4,52794.3,53543.7,54171.16,51006,52248,52332,51970
KAZ,FAOSTAT_3,total_pesticides_use,,,17182,17182,17182,13535,13047,8112,6416.14,4720.28,3024.42,3007.26,3361.84,3606.55,3802.92,3666.62,3926.27,5575.89,7044.9,8716.14,6283.85,10656.6,8674.58,8738.38,11158.77,10588.9,10372.1,13811.1,13058,13102.4
KEN,FAOSTAT_3,total_pesticides_use,3469,3469,3469,3469,3469,4607,6344,5172,4114,3056,1998,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578
KGZ,FAOSTAT_3,total_pesticides_use,,,2418,2200.86,1983.72,1766.59,1549.45,1332.31,1115.17,898.04,680.9,609.6,733.2,1302.6,1321.3,1081.1,796,1026.2,662.8,266.8,350.1,312.9,365.1,341.1,402.6,516,533,560,608,677.3
KNA,FAOSTAT_3,total_pesticides_use,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.28,11.32,11.92,12.52,12.62,12.57,12.57,14.96,15.08,14.61,14.78,1.99,0.94,1.56,2.01,2.46,2.9,3.35,18.08
KOR,FAOSTAT_3,total_pesticides_use,25082,27476,26718,25999,26970.5,25845,24620,24819,22103,25837,25684,28218,25844,24610,25323,24506,24076,24262,25368,22790,20431,19131,17438,18708,19788,19482,19798,20043,18716,16745
KWT,FAOSTAT_3,total_pesticides_use,14,14,14,14,14,14,18,20,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
LAO,FAOSTAT_3,total_pesticides_use,21,21,21,46,35.59,25.19,14.79,4.38,0.66,0.97,1.28,1.79,2.3,2.81,3.31,3.82,4.33,0.44,0.07,25.67,1.83,43.8,43.53,125.89,3,189.35,175.41,145.1,187.31,187.31
LBN,FAOSTAT_3,total_pesticides_use,1221,1221,1221,1221,1221,1221,1221,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816
LBY,FAOSTAT_3,total_pesticides_use,2802.76,2802.76,2802.76,2802.76,2802.76,2802.76,2802.76,2802.76,2802.76,2802.76,2802.76,2802.76,2802.76,2802.76,2802.76,2802.76,1723.29,1174.87,1201.78,1784.02,1044.17,1942.07,1719.27,1496.46,1273.66,1050.86,828.06,648.97,787.53,787.53
LCA,FAOSTAT_3,total_pesticides_use,97,97,97,97,97,97,97,97,49,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196
LKA,FAOSTAT_3,total_pesticides_use,1571.33,1409.15,2144.31,1753.2,1860.7,1735.5,1654.41,1622.4,1532.41,1766.91,1695.71,1705.05,1714.39,1723.73,1733.07,1742.41,1751.75,1439.8,1152.39,1170.36,1450.54,1290.31,1112.8,1235.31,933.34,2539.92,1925,1266,2261,1526.43
LSO,FAOSTAT_3,total_pesticides_use,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.53,5.25,35.27,37.44,77.7,80.07,175.27,271.84,62.32,65.74,69.16,72.58,76,77.23,78.47
LTU,FAOSTAT_3,total_pesticides_use,,,1380,936,713,737,979,928,812,695,688.06,726.09,792.6,847.2,1023.6,1048.5,1197,2722.82,2722.55,2748.8,1803.77,2062.34,2559.9,2515.69,2545.5,2737.7,3337,2994,2050,2317.72
LUX,FAOSTAT_3,total_pesticides_use,,,,,,,,,,,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,155.18,131.32,121.13,168.35,144.1,147.66,135.23
LVA,FAOSTAT_3,total_pesticides_use,,,1005,476,294,358,361,334,369,326.86,284.72,367.4,335.31,477.63,594.46,723.54,743.57,1113.49,1033,881.2,1027.5,1074,1281.03,1250.48,1417.39,1510.12,1724.62,1478.43,1586.99,1650.67
MAR,FAOSTAT_3,total_pesticides_use,9364,9771.14,10178.29,10585.43,10992.57,11399.71,11806.86,12214,12621.14,13028.29,13435.43,13842.57,14249.71,14656.86,15064,13966,13697,13697,13697,13697,13697,13697,13697,13697,13697,13697,13697,13697,13697,13697
MDA,FAOSTAT_3,total_pesticides_use,,,2897,2501,2553.55,2606.11,2658.66,2711.21,2763.76,2816.32,2868.87,2876.28,2606.44,2715.73,2915.4,2394.93,2466.37,2556.03,2924.63,2308.27,2466.13,2453.95,2316.22,2409.25,2500.4,2739,2981,3116,3349.45,3381.2
MDG,FAOSTAT_3,total_pesticides_use,128.41,131,101.06,109.41,76.15,73.08,152.01,139.89,88.26,49.52,130.46,87.59,240.84,146.76,68.01,114.51,109.39,93.88,112.11,143.9,241.89,310.36,377.71,507.94,453.91,401.39,493.54,642.78,705.85,746.05
MDV,FAOSTAT_3,total_pesticides_use,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,44.33,66.17,75.96,53.9,103.3,93.4,87.9,106.2,124.3
MEX,FAOSTAT_3,total_pesticides_use,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,23371.7,11535.83,16285.16,18507.68,39171.9,38402.66,50894.34,50154.53,50327.9,52305.13,53219.63,49213.67,47551.15,43028.74,48292.99,47421.33,50801.94,53144.44,48989.2
MKD,FAOSTAT_3,total_pesticides_use,,,970,659,540,573,556,507,529,412.5,296,175,240,210,262,149,327,119,85,98,98,98,98,98,98,98,98,98,98,98
MLI,FAOSTAT_3,total_pesticides_use,253.71,147.69,98.09,92.33,86.58,80.82,75.07,69.31,63.56,57.8,52.05,46.29,40.54,34.78,29.03,23.27,17.34,12.31,19.05,8.44,8.09,6.83,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
MLT,FAOSTAT_3,total_pesticides_use,326.48,326.48,326.48,326.48,447.26,210.34,154,258.38,260.8,138.79,181.92,111.77,113.25,114.73,116.21,117.69,119.17,120.65,121.27,121.89,122.51,123.14,123.76,124.38,125,116.07,107.15,98.22,89.29,101.95
MMR,FAOSTAT_3,total_pesticides_use,209.08,114,151.18,160.33,190,264.76,137.24,145.54,282.88,420.21,557.55,694.89,949.06,858.94,1042.39,1448.85,3872.16,3329.67,1438.56,1091.08,3340.09,4642.42,3044.78,2898.2,5417.8,7690.63,12092,17274,15326,17337.49
MNE,FAOSTAT_3,total_pesticides_use,,,,,,,,,,,,,,,,,0.55,0.55,0.55,0.55,66,75,71,82,90,76,90,91,91,91
MNG,FAOSTAT_3,total_pesticides_use,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7
MOZ,FAOSTAT_3,total_pesticides_use,102.26,102.26,102.26,102.26,102.26,72.19,65.85,60.63,54.23,47.83,41.43,35.03,28.62,267.26,573.26,771.19,892.81,548.96,890.51,914.98,1189.02,768.85,729.84,690.83,651.82,612.8,573.79,534.78,534.78,534.78
MRT,FAOSTAT_3,total_pesticides_use,39.09,39.09,39.09,39.09,39.09,39.09,39.09,39.09,39.09,39.09,39.09,39.09,3.2,3.22,702.5,1.1,1.7,9.8,17.22,4.29,67.59,13.35,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41
MUS,FAOSTAT_3,total_pesticides_use,889,817.3,745.6,673.89,602.19,663.88,625.89,710.24,640.78,616.9,643.67,723.23,770.35,858.67,815.02,844.85,897.02,778.98,875.11,894.07,916.52,887.38,810.11,857.41,843.62,907.29,917.04,530.02,506.28,526.98
MWI,FAOSTAT_3,total_pesticides_use,171.8,171.8,171.8,171.8,171.8,171.8,171.8,171.8,136.11,125.39,210.45,169.9,129.36,88.82,48.28,295.51,202.35,524.46,624.52,736.25,584.12,553.57,775.83,1500.27,2358.01,2358.01,2358.01,2358.01,2358.01,2358.01
MYS,FAOSTAT_3,total_pesticides_use,39406.48,39406.48,39406.48,39406.48,39406.48,39406.48,39406.48,39406.48,39406.48,39406.48,39406.48,39406.48,39406.48,39406.48,39406.48,39406.48,39406.48,46868.35,54821.91,52464.19,60194.83,41562.16,49810.48,61445.6,49199.43,63307.64,67288,50683,44114,47805
NAM,FAOSTAT_3,total_pesticides_use,42,39,48,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
NER,FAOSTAT_3,total_pesticides_use,62,62,62,62,62,62,22,34,36,26,62,31,29.44,27.88,26.31,24.75,21.12,30.57,12.04,7.32,11.49,10.59,21.37,27.94,34.51,41.09,47.66,32.76,17.86,22.13
NIC,FAOSTAT_3,total_pesticides_use,575,575,575,977,799,876,2041.7,3207.4,4373.1,4097.16,3925.63,3603.5,5715.36,5613.57,4581.73,9391.92,6889.26,9850.26,10173.91,9387.95,12242.19,4932.05,4413.82,6705.5,6826.97,7845.9,7682.29,7902.15,6993.7,7808.1
NLD,FAOSTAT_3,total_pesticides_use,9729,9338,9030,10505,8646,12601,8923,10568,11762,11152,11382.84,9424.73,9700.44,9550.04,10655.4,10703.85,10461.35,12073.15,10777.08,9857.2,9586.03,12365.82,12763.71,12137.2,12070.16,11409.3,12216.17,12001.46,10817.73,10651.44
NOR,FAOSTAT_3,total_pesticides_use,1183,760,767.9,749,848,913.14,698.25,735.43,934.02,802.02,348.24,512.66,799.19,668.51,827.45,518.94,696.34,722.07,800.9,534.56,698.98,823.96,813.93,761.97,861.21,631.03,676,671,614,604
NPL,FAOSTAT_3,total_pesticides_use,60.11,60.11,60.11,60.11,60.11,60.11,70.43,80.75,91.07,101.39,111.72,122.04,132.36,142.68,153,127.99,128.73,344.06,353.43,209.52,332.01,342.92,410.32,454.53,549.17,573.97,632.75,691.53,750.31,809.09
NZL,FAOSTAT_3,total_pesticides_use,3740,3740,3740,3739,3515,3904,3499,3550.08,3055.16,2535.3,3634.3,3333.2,4369.2,4090.2,4249.2,4257.2,4587.2,5138.2,6056.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2
OMN,FAOSTAT_3,total_pesticides_use,42.62,32.38,127.18,103.64,80.11,83.18,86.25,285,298.46,171.91,45.37,66.42,87.47,108.52,129.58,150.63,171.68,192.73,213.78,234.84,255.89,292.3,339.04,439.38,409.77,333.46,346.74,275.47,204.2,304.8
PAK,FAOSTAT_3,total_pesticides_use,5299,5962,5518,4945,6183,7681,11955,16936,18406,20450,27885,11871,11871.08,11871.15,11871.23,11871.31,11871.38,11871.46,11871.54,11871.61,11871.69,11871.77,11871.84,11871.92,11871.92,11871.92,11871.92,11871.92,11871.92,11871.92
PAN,FAOSTAT_3,total_pesticides_use,3308.54,3308.54,3308.54,3308.54,3308.54,3308.54,3308.54,3308.54,2008.07,1553.75,1099.42,2789.13,2141.62,2448.39,2590.5,2677.13,2632.87,2239.8,2142.93,2046.06,1949.19,1852.32,1371.35,2477.29,2458.72,2440.14,2421.57,2403,2247.49,2091.98
PER,FAOSTAT_3,total_pesticides_use,1335.53,1335.53,1335.53,1335.53,1335.53,1335.53,1600.18,1850.33,1912.49,1809.42,2257.17,3001.29,2893.32,2848.57,3128.33,3577.61,4238.13,2928.26,5008.69,4719.14,6225.67,6030.69,7288.63,7091.56,8274.55,8893.46,9482.89,10036.95,8617.57,10635.76
PHL,FAOSTAT_3,total_pesticides_use,15154.3,15373.92,15508.14,15830.68,16237.54,16758.94,16853.5,16846.95,16959.42,17472.83,17382.68,17509.77,17995.32,18330.63,18010.9,18303.97,18899.04,19403.54,20075.72,19975.79,21311.11,21179.54,21608.02,22374.11,22111.62,23250.65,21632.13,21491.31,21350.49,24878.97
PNG,FAOSTAT_3,total_pesticides_use,121,121,121,172,176,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
POL,FAOSTAT_3,total_pesticides_use,5422,5422,7363,8825,9330,7136,9824,9501,8699,8466,8848,8855,10358,7184,8726,16039,17101,18721,20611.02,18493.03,19449.02,21779.27,21885.99,22204.46,23556.67,24006.12,24463,25076,23178,24281
PRT,FAOSTAT_3,total_pesticides_use,9357,9357,6117,8985,9580,11815,12457,12750,14389,15411,15470,15503,17452,17030,16942,16353,15702,16682.39,17080.26,13984.91,13774.18,14024.98,12444.24,10126.8,12892.3,8127.07,8377.98,6329.43,8061.69,9874.3
PRY,FAOSTAT_3,total_pesticides_use,3380,3380,3380,5806.8,8233.6,10660.4,13087.2,15514,12196,5064,3507,10583,11752.99,12922.99,14092.98,15262.98,16432.97,17602.97,18772.96,19942.96,21112.95,22282.95,23452.94,24667.05,18070.43,18908.25,18567,19662,21121.64,22581.28
PSE,FAOSTAT_3,total_pesticides_use,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1238.78,1237.54,1243.3,1290.78,1265.82,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14
QAT,FAOSTAT_3,total_pesticides_use,3,3,3,3,3,4,6,21.5,37,52.5,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
ROU,FAOSTAT_3,total_pesticides_use,25255,19898,15134,24252,21811,20113,17425,15349,13979,11280,9427.4,7871.1,7875.7,6928.1,6778.2,7565.7,6733.2,6314,7193.7,6548.7,7249.2,6582.9,6418.7,6947.9,6723.8,6608.04,6463,6715,5243,5452
RUS,FAOSTAT_3,total_pesticides_use,,,25961,25961,25961,25961,25961,25961,27372.06,28783.11,30194.17,31605.23,33016.29,34427.34,35838.4,37249.46,38660.51,40071.57,41482.63,42893.69,44304.74,45715.8,47126.86,48537.91,49948.97,51360.03,71057,79522.64,74671.56,77306.76
RWA,FAOSTAT_3,total_pesticides_use,157,107,97,127.4,157.8,188.2,218.6,249,157,152,147,72,106.34,140.68,159.54,222.92,288.72,398.11,321.75,1187.6,953.85,181.6,925.52,1841.5,2060.91,2484.21,2027.03,2027.03,2027.03,2027.03
SAU,FAOSTAT_3,total_pesticides_use,994,994,994,994,994,994,994,2513,2683.37,2853.74,3024.11,3194.48,3364.86,3535.23,3705.6,3875.97,4046.34,4216.71,4377.72,4538.73,4699.74,4860.74,5021.75,5412.5,6259.67,7106.85,7954.02,8801.19,9648.36,10495.54
SDN,FAOSTAT_3,total_pesticides_use,,,,,,,,,,,,,,,,,,,,,,,2469.47,2665.68,2861.9,3058.11,3254.33,2379.65,5486.85,4082.53
SEN,FAOSTAT_3,total_pesticides_use,384,384,384,357.55,547.3,435.31,411.33,437.23,450.71,470.87,491.03,282.02,328,373.99,419.97,465.95,511.93,557.92,603.9,649.88,695.86,741.85,787.83,722.53,609.79,708.52,830.74,163.31,478.78,478.78
SLV,FAOSTAT_3,total_pesticides_use,2524,4096,3940.77,3785.54,3630.31,3475.08,3319.85,3164.62,3009.39,2854.16,2698.93,2543.7,2388.47,2233.24,2078.01,1922.78,2265.72,1940.78,3899.48,3333.88,3598.59,3231.13,2595.16,6005.08,5638.23,1747.35,1419.2,3133.73,2863.4,2525.72
SUR,FAOSTAT_3,total_pesticides_use,217,207,197.5,188,178.5,169,142,139,151.33,163.67,176,273.08,370.17,431.07,357.87,401.81,370.78,397.75,501.05,615.66,477.87,936.24,633.92,537.49,622.53,982.84,617,651.3,789,530.58
SVK,FAOSTAT_3,total_pesticides_use,,,,3889.7,4158.5,6146.9,3905.4,3247.2,3582.5,2831.9,1457.49,1549.87,1642.21,1515.43,1573.03,1545.6,1586.97,1595.47,1498.24,1654.12,1880.75,1410.5,1563.78,1620.28,1721.83,1567.86,1520,1724,1785,1859
SVN,FAOSTAT_3,total_pesticides_use,,,1309,1112,944,987,953,1245,1091,1134.5,1468,1387,1164.1,1361,1557.98,1383.88,1280.98,1155.23,1218.15,1162.87,1134.37,1121.91,1016.08,917.49,1009.92,1046.84,1157,1087,1172,972
SWE,FAOSTAT_3,total_pesticides_use,2310,1841,1497,1466,1962,1225,1529,1534,1555,1602,1721,1789,2198,2549,1353,2132,2220,2157,2352,1935,1982,1781,1814,1620,1880,1836.2,1630,1525,1459,1478.1
SYC,FAOSTAT_3,total_pesticides_use,10.29,9.06,8.63,30.77,32.85,35.69,34.73,24.31,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75
SYR,FAOSTAT_3,total_pesticides_use,858.62,858.62,858.62,858.62,858.62,858.62,858.62,858.62,1796.14,2043.3,1306.25,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24,1422.24
TCD,FAOSTAT_3,total_pesticides_use,68,60,45,5,15,2,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
TGO,FAOSTAT_3,total_pesticides_use,324,213,192,206,203,198,197,228.07,259.13,290.2,321.27,352.34,383.4,414.47,584.76,203.09,268.78,262.45,229.94,172.19,242.01,145.74,341.43,371.9,812.89,1117.98,1246.2,1263,1356,1425
THA,FAOSTAT_3,total_pesticides_use,18849,18849,18849,18849,20448,24062,21901,23960,19212,22761,20334,30629.67,40925.33,51221,88548,43831,41220,66858,65423,67933,68986,87191,69921,8136,21800,26167.67,30535.33,34037.48,34776.62,28073.81
TJK,FAOSTAT_3,total_pesticides_use,,,2280,2280,714,54,826,751.31,676.63,601.94,527.25,452.56,377.88,303.19,228.5,235.4,241.9,247.9,253.5,258.1,262.1,264.6,264.6,264.6,264.6,264.6,264.6,264.6,264.6,264.6
TKM,FAOSTAT_3,total_pesticides_use,,,7663,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712,9712
TLS,FAOSTAT_3,total_pesticides_use,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,2.3,0.82,0.7,1.59,2.47,1.39,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
TON,FAOSTAT_3,total_pesticides_use,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,15.09,12.04,9,24,22,22
TTO,FAOSTAT_3,total_pesticides_use,336,387,385,314,298,284,269,253,239,225,212,195,181,167,150,136,122,108,93,80,125.5,172,515.74,859,1173,1173,1173,1173,1173,1173
TUN,FAOSTAT_3,total_pesticides_use,909,909,909,909,909,909,909,909,1172.19,1215.39,1411.77,1379.44,1155.47,1272.27,1582.2,1492.72,1290.48,1363.19,1776.65,1495.28,2174.9,2135.1,3076.4,2462,2765.96,2817.44,3133.94,2670.38,3211.48,3511.11
TZA,FAOSTAT_3,total_pesticides_use,20,20,20,20,715,557,7,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UGA,FAOSTAT_3,total_pesticides_use,72,72,72,71,59,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
UKR,FAOSTAT_3,total_pesticides_use,,,66772,61843.46,56914.93,51986.39,47057.85,42129.32,37200.78,32272.25,27343.71,22415.17,17486.64,12558.1,15344.4,23021.7,28832.6,36476,54080.5,36444.7,62534.6,79491.7,90814.8,86781.8,78201,64986.5,51772,38557.5,25343,24325
URY,FAOSTAT_3,total_pesticides_use,1762.01,1762.01,2072.03,1634.02,2272.08,2413.02,3444.01,3362.05,4239.03,3925.03,3650.08,4433.04,5184.5,7455.26,9017.73,9232.47,9143.45,14057.2,13335.22,13475.41,14981.18,17517.76,23506.4,19028.6,22962.2,14067.8,13365.8,14905.96,16446.12,16446.12
USA,FAOSTAT_3,total_pesticides_use,400975.93,384646.39,400975.9,391903.86,425922.68,423201.53,433180.36,434540.76,424562.11,433633.96,430005.21,411407.94,416851.04,417758.24,425015.71,388275.15,392810.67,400068.15,379202.92,358337.7,374818.2,391298.7,407779.2,407779.2,407779.2,407779.2,407779.2,407779.2,407779.2,407779.2
VEN,FAOSTAT_3,total_pesticides_use,1822,2409,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928
VNM,FAOSTAT_3,total_pesticides_use,20912,20912,20912,20912,20912,24896,32745,33019,20841,16695,16502,19154,19154,19154,19154,19154,19154,19154,19154,19154,19154,19154,19154,19154,19154,19154,19154,19154,19154,19154
VUT,FAOSTAT_3,total_pesticides_use,147,222,198,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
WORLD,FAOSTAT_3,total_pesticides_use,1685494.45,1662277.85,1698992.42,1725508.57,1777775.15,1832379.25,1894767.6,1974727.9,2005588.6,2048921.98,2047087.73,2031916.75,2042877.99,2131264.76,2266115.8,2280625.6,2266095.96,2485641.16,2493892.11,2382853.24,2602517.23,2678699.41,2706818.32,2671213.48,2718422.15,2716449.21,2744823.99,2748889.92,2678475.35,2653819.31
WSM,FAOSTAT_3,total_pesticides_use,48.07,48.07,36,23.53,48.27,44.18,23.66,29.78,12.05,10.02,6.77,12.41,18.05,23.68,29.32,34.96,40.6,46.23,51.87,57.51,63.15,68.78,74.42,80.06,85.7,91.33,96.97,102.61,196.7,111.6
YEM,FAOSTAT_3,total_pesticides_use,713.28,713.28,713.28,713.28,713.28,713.28,713.28,713.28,1182.1,1237.15,1289.15,1576.17,1863.19,748.13,614.12,786.64,741.65,193.69,79.57,92.36,133.85,109.59,109.59,109.59,109.59,109.59,109.59,109.59,109.59,109.59
ZAF,FAOSTAT_3,total_pesticides_use,16582,16582,16582,16582,16582,18025,19508,21596,24304,26098.8,26857,26857,26857,26857,26857,26857,26857,26857,26857,26857,26857,26857,26857,26857,26857,26857,26857,26857,26857,26857
ZMB,FAOSTAT_3,total_pesticides_use,1080,1080,1080,1080,1080,716,1670,1797.51,1925.03,2052.54,2180.05,2307.57,2435.08,2562.59,2690.11,2817.62,2945.13,3072.65,3200.16,3327.67,3455.19,3582.7,3710.21,3837.73,3965.24,4092.75,4220.27,4347.78,4196.64,4196.64
ZWE,FAOSTAT_3,total_pesticides_use,5727,6753,3303,1716,1664,2599,2538,2762,2883,2918.18,2953.36,2988.54,3023.72,3058.9,3094.08,3129.27,3164.45,3199.63,3234.81,3269.99,3305.17,3340.35,3375.53,2550.07,2185.07,2185.07,2185.07,2185.07,2185.07,2185.07
